MCMC: iteration: 1, test suite size: 3, the method coverage: 0.5, the elapsed time: 0.4525840666666667
MCMC: iteration: 80, test suite size: 9, the method coverage: 0.5, the elapsed time: 36.87232898333333
MCMC: iteration: 81, test suite size: 9, the method coverage: 0.5, the elapsed time: 37.71003914999999
MCMC: iteration: 82, test suite size: 2, the method coverage: 0.5, the elapsed time: 38.24583441666667
MCMC: iteration: 83, test suite size: 3, the method coverage: 0.5, the elapsed time: 38.7472656
MCMC: iteration: 84, test suite size: 4, the method coverage: 0.5, the elapsed time: 39.24941441666667
MCMC: iteration: 85, test suite size: 9, the method coverage: 0.5, the elapsed time: 40.3888933
MCMC: iteration: 86, test suite size: 3, the method coverage: 0.5, the elapsed time: 40.79080665
MCMC: iteration: 87, test suite size: 5, the method coverage: 0.5, the elapsed time: 41.66175815
MCMC: iteration: 88, test suite size: 10, the method coverage: 0.5, the elapsed time: 42.8350278
MCMC: iteration: 89, test suite size: 1, the method coverage: 0.5, the elapsed time: 43.22002291666667
MCMC: iteration: 90, test suite size: 5, the method coverage: 0.5, the elapsed time: 43.7390672
MCMC: iteration: 91, test suite size: 5, the method coverage: 0.5, the elapsed time: 44.27485453333334
MCMC: iteration: 92, test suite size: 2, the method coverage: 0.5, the elapsed time: 44.54250471666667
MCMC: iteration: 93, test suite size: 4, the method coverage: 0.5, the elapsed time: 45.161638366666665
MCMC: iteration: 94, test suite size: 2, the method coverage: 0.5, the elapsed time: 45.429108516666666
MCMC: iteration: 95, test suite size: 4, the method coverage: 0.5, the elapsed time: 45.98176865000001
MCMC: iteration: 96, test suite size: 3, the method coverage: 0.5, the elapsed time: 46.6182371
MCMC: iteration: 97, test suite size: 2, the method coverage: 0.5, the elapsed time: 46.936212133333335
MCMC: iteration: 98, test suite size: 5, the method coverage: 0.5, the elapsed time: 47.5386642
MCMC: iteration: 99, test suite size: 5, the method coverage: 0.5, the elapsed time: 48.17498583333334
MCMC: iteration: 100, test suite size: 4, the method coverage: 0.5, the elapsed time: 48.59363908333333
MCMC: iteration: 101, test suite size: 7, the method coverage: 0.5, the elapsed time: 49.39739995
MCMC: iteration: 102, test suite size: 7, the method coverage: 0.5, the elapsed time: 50.285454849999994
MCMC: iteration: 103, test suite size: 5, the method coverage: 0.5, the elapsed time: 50.80430125
MCMC: iteration: 104, test suite size: 3, the method coverage: 0.5, the elapsed time: 51.17274163333333
MCMC: iteration: 105, test suite size: 6, the method coverage: 0.5, the elapsed time: 51.859046
MCMC: iteration: 106, test suite size: 10, the method coverage: 0.5, the elapsed time: 53.082134466666666
MCMC: iteration: 107, test suite size: 5, the method coverage: 0.5, the elapsed time: 53.61791168333333
MCMC: iteration: 108, test suite size: 5, the method coverage: 0.5, the elapsed time: 54.2707653
MCMC: iteration: 109, test suite size: 4, the method coverage: 0.5, the elapsed time: 54.77319718333333
MCMC: iteration: 110, test suite size: 5, the method coverage: 0.5, the elapsed time: 55.35922238333333
MCMC: iteration: 111, test suite size: 3, the method coverage: 0.5, the elapsed time: 55.76114215
MCMC: iteration: 112, test suite size: 3, the method coverage: 0.5, the elapsed time: 56.14620826666667
MCMC: iteration: 113, test suite size: 3, the method coverage: 0.5, the elapsed time: 56.71553891666667
MCMC: iteration: 114, test suite size: 4, the method coverage: 0.5, the elapsed time: 57.20117715
MCMC: iteration: 115, test suite size: 2, the method coverage: 0.5, the elapsed time: 57.50213915
MCMC: iteration: 116, test suite size: 1, the method coverage: 0.5, the elapsed time: 57.7527691
MCMC: iteration: 117, test suite size: 2, the method coverage: 0.5, the elapsed time: 58.22113158333333
MCMC: iteration: 118, test suite size: 4, the method coverage: 0.5, the elapsed time: 58.62278516666667
MCMC: iteration: 119, test suite size: 6, the method coverage: 0.5, the elapsed time: 59.376124966666666
MCMC: iteration: 120, test suite size: 9, the method coverage: 0.5, the elapsed time: 60.04620105
MCMC: iteration: 121, test suite size: 10, the method coverage: 0.5, the elapsed time: 61.18536098333333
MCMC: iteration: 122, test suite size: 1, the method coverage: 0.5, the elapsed time: 61.5030904
MCMC: iteration: 123, test suite size: 3, the method coverage: 0.5, the elapsed time: 61.871275833333335
MCMC: iteration: 124, test suite size: 3, the method coverage: 0.5, the elapsed time: 62.255787149999996
MCMC: iteration: 125, test suite size: 5, the method coverage: 0.5, the elapsed time: 62.958964683333335
MCMC: iteration: 126, test suite size: 5, the method coverage: 0.5, the elapsed time: 63.44433698333333
MCMC: iteration: 127, test suite size: 5, the method coverage: 0.5, the elapsed time: 64.04665606666667
MCMC: iteration: 128, test suite size: 3, the method coverage: 0.5, the elapsed time: 64.70013246666666
MCMC: iteration: 129, test suite size: 6, the method coverage: 0.5, the elapsed time: 65.36986041666667
MCMC: iteration: 130, test suite size: 4, the method coverage: 0.5, the elapsed time: 66.00666923333333
MCMC: iteration: 131, test suite size: 4, the method coverage: 0.5, the elapsed time: 66.47538956666666
MCMC: iteration: 132, test suite size: 3, the method coverage: 0.5, the elapsed time: 66.79326321666666
MCMC: iteration: 133, test suite size: 4, the method coverage: 0.5, the elapsed time: 67.16128375
MCMC: iteration: 134, test suite size: 2, the method coverage: 0.5, the elapsed time: 67.49576256666667
MCMC: iteration: 135, test suite size: 10, the method coverage: 0.5, the elapsed time: 68.51731363333333
MCMC: iteration: 136, test suite size: 1, the method coverage: 0.5, the elapsed time: 68.98631019999999
MCMC: iteration: 137, test suite size: 5, the method coverage: 0.5, the elapsed time: 69.43805094999999
MCMC: iteration: 138, test suite size: 2, the method coverage: 0.5, the elapsed time: 69.70556558333332
MCMC: iteration: 139, test suite size: 4, the method coverage: 0.5, the elapsed time: 70.10701598333334
MCMC: iteration: 140, test suite size: 1, the method coverage: 0.5, the elapsed time: 70.30749446666667
MCMC: iteration: 141, test suite size: 3, the method coverage: 0.5, the elapsed time: 70.67536076666667
MCMC: iteration: 142, test suite size: 5, the method coverage: 0.5, the elapsed time: 71.32858928333333
MCMC: iteration: 143, test suite size: 3, the method coverage: 0.5, the elapsed time: 71.78076396666667
MCMC: iteration: 144, test suite size: 1, the method coverage: 0.5, the elapsed time: 71.99802135
MCMC: iteration: 145, test suite size: 2, the method coverage: 0.5, the elapsed time: 72.29920116666668
MCMC: iteration: 146, test suite size: 1, the method coverage: 0.5, the elapsed time: 72.51642533333333
MCMC: iteration: 147, test suite size: 4, the method coverage: 0.5, the elapsed time: 73.21968053333333
MCMC: iteration: 148, test suite size: 5, the method coverage: 0.5, the elapsed time: 73.73854013333333
MCMC: iteration: 149, test suite size: 1, the method coverage: 0.5, the elapsed time: 73.97274666666667
MCMC: iteration: 150, test suite size: 6, the method coverage: 0.5, the elapsed time: 74.91094693333334
MCMC: iteration: 151, test suite size: 2, the method coverage: 0.5, the elapsed time: 75.24559713333333
MCMC: iteration: 152, test suite size: 2, the method coverage: 0.5, the elapsed time: 75.78103981666666
MCMC: iteration: 153, test suite size: 6, the method coverage: 0.5, the elapsed time: 76.4676136
MCMC: iteration: 154, test suite size: 1, the method coverage: 0.5, the elapsed time: 76.73515283333333
MCMC: iteration: 155, test suite size: 2, the method coverage: 0.5, the elapsed time: 77.13686533333333
MCMC: iteration: 156, test suite size: 1, the method coverage: 0.5, the elapsed time: 77.47138551666667
MCMC: iteration: 157, test suite size: 4, the method coverage: 0.5, the elapsed time: 78.02369449999999
MCMC: iteration: 158, test suite size: 2, the method coverage: 0.5, the elapsed time: 78.47569916666666
MCMC: iteration: 159, test suite size: 2, the method coverage: 0.5, the elapsed time: 78.81027218333334
MCMC: iteration: 160, test suite size: 7, the method coverage: 0.5, the elapsed time: 79.71495538333333
MCMC: iteration: 161, test suite size: 1, the method coverage: 0.5, the elapsed time: 79.98236671666668
MCMC: iteration: 162, test suite size: 1, the method coverage: 0.5, the elapsed time: 80.30044461666667
MCMC: iteration: 163, test suite size: 1, the method coverage: 0.5, the elapsed time: 80.63491961666666
MCMC: iteration: 164, test suite size: 1, the method coverage: 0.5, the elapsed time: 80.93635056666668
MCMC: iteration: 165, test suite size: 2, the method coverage: 0.5, the elapsed time: 81.32114813333332
MCMC: iteration: 166, test suite size: 3, the method coverage: 0.5, the elapsed time: 81.72285738333333
MCMC: iteration: 167, test suite size: 2, the method coverage: 0.5, the elapsed time: 82.24197843333333
MCMC: iteration: 168, test suite size: 2, the method coverage: 0.5, the elapsed time: 82.67723353333334
MCMC: iteration: 169, test suite size: 1, the method coverage: 0.5, the elapsed time: 82.96152885
MCMC: iteration: 170, test suite size: 1, the method coverage: 0.5, the elapsed time: 83.24593436666667
MCMC: iteration: 171, test suite size: 1, the method coverage: 0.5, the elapsed time: 83.46324683333334
MCMC: iteration: 172, test suite size: 2, the method coverage: 0.5, the elapsed time: 83.78116544999999
MCMC: iteration: 173, test suite size: 1, the method coverage: 0.5, the elapsed time: 84.03221813333333
MCMC: iteration: 174, test suite size: 1, the method coverage: 0.5, the elapsed time: 84.33327898333333
MCMC: iteration: 175, test suite size: 1, the method coverage: 0.5, the elapsed time: 84.56752286666666
MCMC: iteration: 176, test suite size: 1, the method coverage: 0.5, the elapsed time: 84.86860494999999
MCMC: iteration: 177, test suite size: 3, the method coverage: 0.5, the elapsed time: 85.23669533333333
MCMC: iteration: 178, test suite size: 1, the method coverage: 0.5, the elapsed time: 85.57145441666667
MCMC: iteration: 179, test suite size: 1, the method coverage: 0.5, the elapsed time: 85.90588696666667
MCMC: iteration: 180, test suite size: 5, the method coverage: 0.5, the elapsed time: 86.49258056666666
MCMC: iteration: 181, test suite size: 1, the method coverage: 0.5, the elapsed time: 86.72658593333334
MCMC: iteration: 182, test suite size: 2, the method coverage: 0.5, the elapsed time: 87.07786278333333
MCMC: iteration: 183, test suite size: 2, the method coverage: 0.5, the elapsed time: 87.49670831666667
MCMC: iteration: 184, test suite size: 4, the method coverage: 0.5, the elapsed time: 88.08286853333334
MCMC: iteration: 185, test suite size: 5, the method coverage: 0.5, the elapsed time: 88.70306725
MCMC: iteration: 186, test suite size: 11, the method coverage: 0.5, the elapsed time: 90.01049315
MCMC: iteration: 187, test suite size: 1, the method coverage: 0.5, the elapsed time: 90.19443838333333
MCMC: iteration: 188, test suite size: 2, the method coverage: 0.5, the elapsed time: 90.46202056666667
MCMC: iteration: 189, test suite size: 2, the method coverage: 0.5, the elapsed time: 90.88071841666667
MCMC: iteration: 190, test suite size: 1, the method coverage: 0.5, the elapsed time: 91.39980756666667
MCMC: iteration: 191, test suite size: 2, the method coverage: 0.5, the elapsed time: 91.70090698333334
MCMC: iteration: 192, test suite size: 6, the method coverage: 0.5, the elapsed time: 92.38757953333334
MCMC: iteration: 193, test suite size: 3, the method coverage: 0.5, the elapsed time: 92.77202256666666
MCMC: iteration: 194, test suite size: 10, the method coverage: 0.5, the elapsed time: 93.96184783333334
MCMC: iteration: 195, test suite size: 1, the method coverage: 0.5, the elapsed time: 94.26298753333334
MCMC: iteration: 196, test suite size: 2, the method coverage: 0.5, the elapsed time: 94.71529476666666
MCMC: iteration: 197, test suite size: 1, the method coverage: 0.5, the elapsed time: 94.93270435
MCMC: iteration: 198, test suite size: 2, the method coverage: 0.5, the elapsed time: 95.20067325
MCMC: iteration: 199, test suite size: 1, the method coverage: 0.5, the elapsed time: 95.5019899
MCMC: iteration: 200, test suite size: 2, the method coverage: 0.5, the elapsed time: 95.81992775
MCMC: iteration: 201, test suite size: 2, the method coverage: 0.5, the elapsed time: 96.23839311666667
MCMC: iteration: 202, test suite size: 1, the method coverage: 0.5, the elapsed time: 96.69004208333334
MCMC: iteration: 203, test suite size: 1, the method coverage: 0.5, the elapsed time: 97.19218646666667
MCMC: iteration: 204, test suite size: 2, the method coverage: 0.5, the elapsed time: 97.50974576666667
MCMC: iteration: 205, test suite size: 2, the method coverage: 0.5, the elapsed time: 97.79388936666666
MCMC: iteration: 206, test suite size: 1, the method coverage: 0.5, the elapsed time: 98.02794524999999
MCMC: iteration: 207, test suite size: 3, the method coverage: 0.5, the elapsed time: 98.46346625
MCMC: iteration: 208, test suite size: 2, the method coverage: 0.5, the elapsed time: 98.74777146666666
MCMC: iteration: 209, test suite size: 3, the method coverage: 0.5, the elapsed time: 99.04926601666666
MCMC: iteration: 210, test suite size: 1, the method coverage: 0.5, the elapsed time: 99.26662883333333
MCMC: iteration: 211, test suite size: 5, the method coverage: 0.5, the elapsed time: 99.7357445
MCMC: iteration: 212, test suite size: 2, the method coverage: 0.5, the elapsed time: 100.13769028333333
MCMC: iteration: 213, test suite size: 1, the method coverage: 0.5, the elapsed time: 100.43860625
MCMC: iteration: 214, test suite size: 5, the method coverage: 0.5, the elapsed time: 100.94099433333334
MCMC: iteration: 215, test suite size: 2, the method coverage: 0.5, the elapsed time: 101.34260283333333
MCMC: iteration: 216, test suite size: 1, the method coverage: 0.5, the elapsed time: 101.62693838333333
MCMC: iteration: 217, test suite size: 1, the method coverage: 0.5, the elapsed time: 101.84443698333332
MCMC: iteration: 218, test suite size: 2, the method coverage: 0.5, the elapsed time: 102.16215151666667
MCMC: iteration: 219, test suite size: 1, the method coverage: 0.5, the elapsed time: 102.42981876666666
MCMC: iteration: 220, test suite size: 1, the method coverage: 0.5, the elapsed time: 102.61344605
MCMC: iteration: 221, test suite size: 2, the method coverage: 0.5, the elapsed time: 103.13258213333333
MCMC: iteration: 222, test suite size: 3, the method coverage: 0.5, the elapsed time: 103.567816
MCMC: iteration: 223, test suite size: 3, the method coverage: 0.5, the elapsed time: 103.88550839999999
MCMC: iteration: 224, test suite size: 1, the method coverage: 0.5, the elapsed time: 104.3376697
MCMC: iteration: 225, test suite size: 1, the method coverage: 0.5, the elapsed time: 104.53805296666665
MCMC: iteration: 226, test suite size: 1, the method coverage: 0.5, the elapsed time: 104.73849455
MCMC: iteration: 227, test suite size: 2, the method coverage: 0.5, the elapsed time: 105.00581301666666
MCMC: iteration: 228, test suite size: 3, the method coverage: 0.5, the elapsed time: 105.37363995000001
MCMC: iteration: 229, test suite size: 4, the method coverage: 0.5, the elapsed time: 105.77516036666665
MCMC: iteration: 230, test suite size: 2, the method coverage: 0.5, the elapsed time: 106.04253936666667
MCMC: iteration: 231, test suite size: 5, the method coverage: 0.5, the elapsed time: 106.44461298333334
MCMC: iteration: 232, test suite size: 1, the method coverage: 0.5, the elapsed time: 106.72876023333333
MCMC: iteration: 233, test suite size: 1, the method coverage: 0.5, the elapsed time: 107.06355721666667
MCMC: iteration: 234, test suite size: 1, the method coverage: 0.5, the elapsed time: 107.29742681666667
MCMC: iteration: 235, test suite size: 2, the method coverage: 0.5, the elapsed time: 107.69931265
MCMC: iteration: 236, test suite size: 1, the method coverage: 0.5, the elapsed time: 108.10090513333333
MCMC: iteration: 237, test suite size: 1, the method coverage: 0.5, the elapsed time: 108.41865631666666
MCMC: iteration: 238, test suite size: 1, the method coverage: 0.5, the elapsed time: 108.85368073333333
MCMC: iteration: 239, test suite size: 1, the method coverage: 0.5, the elapsed time: 109.18794106666665
MCMC: iteration: 240, test suite size: 2, the method coverage: 0.5, the elapsed time: 109.57252281666666
MCMC: iteration: 241, test suite size: 1, the method coverage: 0.5, the elapsed time: 109.78953748333333
MCMC: iteration: 242, test suite size: 1, the method coverage: 0.5, the elapsed time: 110.04023341666667
MCMC: iteration: 243, test suite size: 1, the method coverage: 0.5, the elapsed time: 110.32447965
MCMC: iteration: 244, test suite size: 2, the method coverage: 0.5, the elapsed time: 110.64243570000001
MCMC: iteration: 245, test suite size: 2, the method coverage: 0.5, the elapsed time: 111.02704953333334
MCMC: iteration: 246, test suite size: 1, the method coverage: 0.5, the elapsed time: 111.21088761666667
MCMC: iteration: 247, test suite size: 1, the method coverage: 0.5, the elapsed time: 111.42814751666667
MCMC: iteration: 248, test suite size: 1, the method coverage: 0.5, the elapsed time: 111.61187756666666
MCMC: iteration: 249, test suite size: 1, the method coverage: 0.5, the elapsed time: 111.82915718333334
MCMC: iteration: 250, test suite size: 1, the method coverage: 0.5, the elapsed time: 112.01305215000001
MCMC: iteration: 251, test suite size: 1, the method coverage: 0.5, the elapsed time: 112.19662733333332
MCMC: iteration: 252, test suite size: 1, the method coverage: 0.5, the elapsed time: 112.38027186666666
MCMC: iteration: 253, test suite size: 1, the method coverage: 0.5, the elapsed time: 112.56390033333334
MCMC: iteration: 254, test suite size: 1, the method coverage: 0.5, the elapsed time: 112.74763156666667
MCMC: iteration: 255, test suite size: 1, the method coverage: 0.5, the elapsed time: 112.93143031666666
MCMC: iteration: 256, test suite size: 2, the method coverage: 0.5, the elapsed time: 113.45010545
MCMC: iteration: 257, test suite size: 1, the method coverage: 0.5, the elapsed time: 113.63375760000001
MCMC: iteration: 258, test suite size: 3, the method coverage: 0.5, the elapsed time: 114.0018622
MCMC: iteration: 259, test suite size: 2, the method coverage: 0.5, the elapsed time: 114.3869249
MCMC: iteration: 260, test suite size: 3, the method coverage: 0.5, the elapsed time: 114.72119053333333
MCMC: iteration: 261, test suite size: 3, the method coverage: 0.5, the elapsed time: 115.2404102
MCMC: iteration: 262, test suite size: 2, the method coverage: 0.5, the elapsed time: 115.77608868333333
MCMC: iteration: 263, test suite size: 3, the method coverage: 0.5, the elapsed time: 116.1776455
MCMC: iteration: 264, test suite size: 7, the method coverage: 0.5, the elapsed time: 117.01442466666667
MCMC: iteration: 265, test suite size: 2, the method coverage: 0.5, the elapsed time: 117.2651326
MCMC: iteration: 266, test suite size: 1, the method coverage: 0.5, the elapsed time: 117.56652976666666
MCMC: iteration: 267, test suite size: 2, the method coverage: 0.5, the elapsed time: 117.96838299999999
MCMC: iteration: 268, test suite size: 1, the method coverage: 0.5, the elapsed time: 118.23567408333334
MCMC: iteration: 269, test suite size: 1, the method coverage: 0.5, the elapsed time: 118.50322376666666
MCMC: iteration: 270, test suite size: 1, the method coverage: 0.5, the elapsed time: 118.80388126666666
MCMC: iteration: 271, test suite size: 1, the method coverage: 0.5, the elapsed time: 119.00430953333333
MCMC: iteration: 272, test suite size: 2, the method coverage: 0.5, the elapsed time: 119.50657831666668
MCMC: iteration: 273, test suite size: 1, the method coverage: 0.5, the elapsed time: 119.74064693333334
