MCMC: iteration: 1, test suite size: 1, the method coverage: 0.5, the elapsed time: 0.21746551666666666
MCMC: iteration: 46, test suite size: 9, the method coverage: 0.5, the elapsed time: 17.488796966666666
MCMC: iteration: 47, test suite size: 4, the method coverage: 0.5, the elapsed time: 17.78989475
MCMC: iteration: 48, test suite size: 3, the method coverage: 0.5, the elapsed time: 18.057323933333333
MCMC: iteration: 49, test suite size: 3, the method coverage: 0.5, the elapsed time: 18.375301750000002
MCMC: iteration: 50, test suite size: 1, the method coverage: 0.5, the elapsed time: 18.55893006666667
MCMC: iteration: 51, test suite size: 2, the method coverage: 0.5, the elapsed time: 18.776101933333333
MCMC: iteration: 52, test suite size: 2, the method coverage: 0.5, the elapsed time: 18.99347885
MCMC: iteration: 53, test suite size: 2, the method coverage: 0.5, the elapsed time: 19.193815400000002
MCMC: iteration: 54, test suite size: 3, the method coverage: 0.5, the elapsed time: 19.44452696666667
MCMC: iteration: 55, test suite size: 4, the method coverage: 0.5, the elapsed time: 19.745484666666666
MCMC: iteration: 56, test suite size: 2, the method coverage: 0.5, the elapsed time: 19.96278985
MCMC: iteration: 57, test suite size: 2, the method coverage: 0.5, the elapsed time: 20.297400683333333
MCMC: iteration: 58, test suite size: 1, the method coverage: 0.5, the elapsed time: 20.481104266666666
MCMC: iteration: 59, test suite size: 1, the method coverage: 0.5, the elapsed time: 20.664926333333334
MCMC: iteration: 60, test suite size: 6, the method coverage: 0.5, the elapsed time: 21.01598485
MCMC: iteration: 61, test suite size: 1, the method coverage: 0.5, the elapsed time: 21.199742566666664
MCMC: iteration: 62, test suite size: 7, the method coverage: 0.5, the elapsed time: 21.651778166666666
MCMC: iteration: 63, test suite size: 3, the method coverage: 0.5, the elapsed time: 21.88590795
MCMC: iteration: 64, test suite size: 1, the method coverage: 0.5, the elapsed time: 22.069635766666668
MCMC: iteration: 65, test suite size: 7, the method coverage: 0.5, the elapsed time: 22.47113655
MCMC: iteration: 66, test suite size: 4, the method coverage: 0.5, the elapsed time: 22.889695433333333
MCMC: iteration: 67, test suite size: 3, the method coverage: 0.5, the elapsed time: 23.27433758333333
MCMC: iteration: 68, test suite size: 1, the method coverage: 0.5, the elapsed time: 23.458282333333333
MCMC: iteration: 69, test suite size: 10, the method coverage: 0.5, the elapsed time: 24.094314899999997
MCMC: iteration: 70, test suite size: 12, the method coverage: 0.5, the elapsed time: 24.764401666666668
MCMC: iteration: 71, test suite size: 4, the method coverage: 0.5, the elapsed time: 25.065487949999998
MCMC: iteration: 72, test suite size: 15, the method coverage: 0.5, the elapsed time: 26.070770566666667
MCMC: iteration: 73, test suite size: 12, the method coverage: 0.5, the elapsed time: 26.706929433333336
MCMC: iteration: 74, test suite size: 2, the method coverage: 0.5, the elapsed time: 26.90760225
MCMC: iteration: 75, test suite size: 2, the method coverage: 0.5, the elapsed time: 27.141658083333333
MCMC: iteration: 76, test suite size: 1, the method coverage: 0.5, the elapsed time: 27.325558750000003
MCMC: iteration: 77, test suite size: 2, the method coverage: 0.5, the elapsed time: 27.5428629
MCMC: iteration: 78, test suite size: 1, the method coverage: 0.5, the elapsed time: 27.726682966666665
MCMC: iteration: 79, test suite size: 2, the method coverage: 0.5, the elapsed time: 27.960820950000002
MCMC: iteration: 80, test suite size: 1, the method coverage: 0.5, the elapsed time: 28.1446149
MCMC: iteration: 81, test suite size: 6, the method coverage: 0.5, the elapsed time: 28.5798648
MCMC: iteration: 82, test suite size: 9, the method coverage: 0.5, the elapsed time: 29.21551495
MCMC: iteration: 83, test suite size: 1, the method coverage: 0.5, the elapsed time: 29.399216883333334
MCMC: iteration: 84, test suite size: 2, the method coverage: 0.5, the elapsed time: 29.599633233333336
MCMC: iteration: 85, test suite size: 7, the method coverage: 0.5, the elapsed time: 30.18540031666667
MCMC: iteration: 86, test suite size: 2, the method coverage: 0.5, the elapsed time: 30.402587316666665
MCMC: iteration: 87, test suite size: 2, the method coverage: 0.5, the elapsed time: 30.602999483333335
MCMC: iteration: 88, test suite size: 1, the method coverage: 0.5, the elapsed time: 30.786873833333335
MCMC: iteration: 89, test suite size: 1, the method coverage: 0.5, the elapsed time: 30.970533316666668
MCMC: iteration: 90, test suite size: 1, the method coverage: 0.5, the elapsed time: 31.187611333333333
MCMC: iteration: 91, test suite size: 1, the method coverage: 0.5, the elapsed time: 31.371251266666665
MCMC: iteration: 92, test suite size: 1, the method coverage: 0.5, the elapsed time: 31.622208049999998
MCMC: iteration: 93, test suite size: 1, the method coverage: 0.5, the elapsed time: 31.805838483333332
MCMC: iteration: 94, test suite size: 2, the method coverage: 0.5, the elapsed time: 32.006371466666664
MCMC: iteration: 95, test suite size: 1, the method coverage: 0.5, the elapsed time: 32.19012778333333
MCMC: iteration: 96, test suite size: 1, the method coverage: 0.5, the elapsed time: 32.4742158
MCMC: iteration: 97, test suite size: 5, the method coverage: 0.5, the elapsed time: 32.84209391666666
MCMC: iteration: 98, test suite size: 3, the method coverage: 0.5, the elapsed time: 33.2271744
MCMC: iteration: 99, test suite size: 2, the method coverage: 0.5, the elapsed time: 33.427855900000004
MCMC: iteration: 100, test suite size: 1, the method coverage: 0.5, the elapsed time: 33.6115758
MCMC: iteration: 101, test suite size: 1, the method coverage: 0.5, the elapsed time: 33.7954443
MCMC: iteration: 102, test suite size: 3, the method coverage: 0.5, the elapsed time: 34.19742975
MCMC: iteration: 103, test suite size: 1, the method coverage: 0.5, the elapsed time: 34.380963449999996
MCMC: iteration: 104, test suite size: 2, the method coverage: 0.5, the elapsed time: 34.598150450000006
MCMC: iteration: 105, test suite size: 2, the method coverage: 0.5, the elapsed time: 34.79866663333333
MCMC: iteration: 106, test suite size: 6, the method coverage: 0.5, the elapsed time: 35.166729583333336
MCMC: iteration: 107, test suite size: 5, the method coverage: 0.5, the elapsed time: 35.769455216666664
MCMC: iteration: 108, test suite size: 3, the method coverage: 0.5, the elapsed time: 36.00342053333333
MCMC: iteration: 109, test suite size: 3, the method coverage: 0.5, the elapsed time: 36.254060566666666
MCMC: iteration: 110, test suite size: 5, the method coverage: 0.5, the elapsed time: 36.6390096
MCMC: iteration: 111, test suite size: 3, the method coverage: 0.5, the elapsed time: 36.87319936666667
MCMC: iteration: 112, test suite size: 6, the method coverage: 0.5, the elapsed time: 37.275093250000005
MCMC: iteration: 113, test suite size: 2, the method coverage: 0.5, the elapsed time: 37.49239976666667
MCMC: iteration: 114, test suite size: 2, the method coverage: 0.5, the elapsed time: 37.6928998
MCMC: iteration: 115, test suite size: 1, the method coverage: 0.5, the elapsed time: 37.876687583333336
MCMC: iteration: 116, test suite size: 4, the method coverage: 0.5, the elapsed time: 38.16107231666667
MCMC: iteration: 117, test suite size: 1, the method coverage: 0.5, the elapsed time: 38.34475908333333
MCMC: iteration: 118, test suite size: 2, the method coverage: 0.5, the elapsed time: 38.54541936666667
MCMC: iteration: 119, test suite size: 6, the method coverage: 0.5, the elapsed time: 38.91326313333333
MCMC: iteration: 120, test suite size: 3, the method coverage: 0.5, the elapsed time: 39.18086636666667
MCMC: iteration: 121, test suite size: 1, the method coverage: 0.5, the elapsed time: 39.36450223333333
MCMC: iteration: 122, test suite size: 4, the method coverage: 0.5, the elapsed time: 39.74937168333334
MCMC: iteration: 123, test suite size: 1, the method coverage: 0.5, the elapsed time: 39.93319496666666
MCMC: iteration: 124, test suite size: 10, the method coverage: 0.5, the elapsed time: 40.4522884
MCMC: iteration: 125, test suite size: 7, the method coverage: 0.5, the elapsed time: 41.13888996666667
MCMC: iteration: 126, test suite size: 3, the method coverage: 0.5, the elapsed time: 41.423262683333334
MCMC: iteration: 127, test suite size: 1, the method coverage: 0.5, the elapsed time: 41.607157183333335
MCMC: iteration: 128, test suite size: 2, the method coverage: 0.5, the elapsed time: 41.82445695
MCMC: iteration: 129, test suite size: 1, the method coverage: 0.5, the elapsed time: 42.00828106666667
MCMC: iteration: 130, test suite size: 4, the method coverage: 0.5, the elapsed time: 42.29272996666667
MCMC: iteration: 131, test suite size: 5, the method coverage: 0.5, the elapsed time: 42.77841063333334
MCMC: iteration: 132, test suite size: 1, the method coverage: 0.5, the elapsed time: 43.02917743333333
MCMC: iteration: 133, test suite size: 5, the method coverage: 0.5, the elapsed time: 43.38033708333333
MCMC: iteration: 134, test suite size: 2, the method coverage: 0.5, the elapsed time: 43.597592666666664
MCMC: iteration: 135, test suite size: 3, the method coverage: 0.5, the elapsed time: 43.848141133333336
MCMC: iteration: 136, test suite size: 2, the method coverage: 0.5, the elapsed time: 44.0653814
MCMC: iteration: 137, test suite size: 2, the method coverage: 0.5, the elapsed time: 44.26590101666667
MCMC: iteration: 138, test suite size: 2, the method coverage: 0.5, the elapsed time: 44.50014195000001
MCMC: iteration: 139, test suite size: 2, the method coverage: 0.5, the elapsed time: 44.71746601666667
MCMC: iteration: 140, test suite size: 1, the method coverage: 0.5, the elapsed time: 44.90124191666666
MCMC: iteration: 141, test suite size: 2, the method coverage: 0.5, the elapsed time: 45.10206993333334
MCMC: iteration: 142, test suite size: 11, the method coverage: 0.5, the elapsed time: 45.75523388333333
MCMC: iteration: 143, test suite size: 4, the method coverage: 0.5, the elapsed time: 46.24095173333333
MCMC: iteration: 144, test suite size: 9, the method coverage: 0.5, the elapsed time: 46.77617418333333
MCMC: iteration: 145, test suite size: 14, the method coverage: 0.5, the elapsed time: 47.76414393333334
MCMC: iteration: 146, test suite size: 3, the method coverage: 0.5, the elapsed time: 48.03173666666667
MCMC: iteration: 147, test suite size: 16, the method coverage: 0.5, the elapsed time: 49.07083961666667
MCMC: iteration: 148, test suite size: 12, the method coverage: 0.5, the elapsed time: 49.95847983333333
MCMC: iteration: 149, test suite size: 13, the method coverage: 0.5, the elapsed time: 50.828353533333335
MCMC: iteration: 150, test suite size: 3, the method coverage: 0.5, the elapsed time: 51.0624083
MCMC: iteration: 151, test suite size: 3, the method coverage: 0.5, the elapsed time: 51.313178050000005
MCMC: iteration: 152, test suite size: 11, the method coverage: 0.5, the elapsed time: 52.06685445
MCMC: iteration: 153, test suite size: 13, the method coverage: 0.5, the elapsed time: 52.73656201666667
MCMC: iteration: 154, test suite size: 1, the method coverage: 0.5, the elapsed time: 52.92038515
MCMC: iteration: 155, test suite size: 9, the method coverage: 0.5, the elapsed time: 53.573835933333335
MCMC: iteration: 156, test suite size: 2, the method coverage: 0.5, the elapsed time: 53.79113635
MCMC: iteration: 157, test suite size: 2, the method coverage: 0.5, the elapsed time: 53.97484965
MCMC: iteration: 158, test suite size: 7, the method coverage: 0.5, the elapsed time: 54.39292285
MCMC: iteration: 159, test suite size: 8, the method coverage: 0.5, the elapsed time: 54.895418033333335
MCMC: iteration: 160, test suite size: 4, the method coverage: 0.5, the elapsed time: 55.179741766666666
MCMC: iteration: 161, test suite size: 1, the method coverage: 0.5, the elapsed time: 55.36352043333333
MCMC: iteration: 162, test suite size: 3, the method coverage: 0.5, the elapsed time: 55.597504316666665
MCMC: iteration: 163, test suite size: 3, the method coverage: 0.5, the elapsed time: 55.83166743333334
MCMC: iteration: 164, test suite size: 1, the method coverage: 0.5, the elapsed time: 56.01549905
MCMC: iteration: 165, test suite size: 2, the method coverage: 0.5, the elapsed time: 56.216079783333335
MCMC: iteration: 166, test suite size: 3, the method coverage: 0.5, the elapsed time: 56.483886399999996
MCMC: iteration: 167, test suite size: 1, the method coverage: 0.5, the elapsed time: 56.667566216666664
MCMC: iteration: 168, test suite size: 10, the method coverage: 0.5, the elapsed time: 57.253692066666666
MCMC: iteration: 169, test suite size: 3, the method coverage: 0.5, the elapsed time: 57.53807403333334
MCMC: iteration: 170, test suite size: 7, the method coverage: 0.5, the elapsed time: 58.03967416666667
MCMC: iteration: 171, test suite size: 3, the method coverage: 0.5, the elapsed time: 58.29027793333333
MCMC: iteration: 172, test suite size: 4, the method coverage: 0.5, the elapsed time: 58.641993383333336
MCMC: iteration: 173, test suite size: 1, the method coverage: 0.5, the elapsed time: 58.8258168
MCMC: iteration: 174, test suite size: 5, the method coverage: 0.5, the elapsed time: 59.27822308333334
MCMC: iteration: 175, test suite size: 8, the method coverage: 0.5, the elapsed time: 59.730457183333336
MCMC: iteration: 176, test suite size: 1, the method coverage: 0.5, the elapsed time: 59.91429623333333
MCMC: iteration: 177, test suite size: 2, the method coverage: 0.5, the elapsed time: 60.148214
MCMC: iteration: 178, test suite size: 1, the method coverage: 0.5, the elapsed time: 60.331863033333335
MCMC: iteration: 179, test suite size: 5, the method coverage: 0.5, the elapsed time: 60.7168938
MCMC: iteration: 180, test suite size: 1, the method coverage: 0.5, the elapsed time: 60.900696016666664
MCMC: iteration: 181, test suite size: 2, the method coverage: 0.5, the elapsed time: 61.10138108333333
MCMC: iteration: 182, test suite size: 2, the method coverage: 0.5, the elapsed time: 61.301840266666666
MCMC: iteration: 183, test suite size: 1, the method coverage: 0.5, the elapsed time: 61.60273433333334
MCMC: iteration: 184, test suite size: 3, the method coverage: 0.5, the elapsed time: 61.836679466666666
MCMC: iteration: 185, test suite size: 1, the method coverage: 0.5, the elapsed time: 62.02050805
MCMC: iteration: 186, test suite size: 11, the method coverage: 0.5, the elapsed time: 62.64005406666667
MCMC: iteration: 187, test suite size: 4, the method coverage: 0.5, the elapsed time: 62.92434733333334
MCMC: iteration: 188, test suite size: 2, the method coverage: 0.5, the elapsed time: 63.141515850000005
MCMC: iteration: 189, test suite size: 9, the method coverage: 0.5, the elapsed time: 63.79452625
MCMC: iteration: 190, test suite size: 11, the method coverage: 0.5, the elapsed time: 64.41434698333333
MCMC: iteration: 191, test suite size: 1, the method coverage: 0.5, the elapsed time: 64.59812201666666
MCMC: iteration: 192, test suite size: 3, the method coverage: 0.5, the elapsed time: 64.83245091666667
MCMC: iteration: 193, test suite size: 8, the method coverage: 0.5, the elapsed time: 65.43520135
MCMC: iteration: 194, test suite size: 5, the method coverage: 0.5, the elapsed time: 65.78641486666668
MCMC: iteration: 195, test suite size: 1, the method coverage: 0.5, the elapsed time: 65.97008666666666
MCMC: iteration: 196, test suite size: 6, the method coverage: 0.5, the elapsed time: 66.33807546666667
MCMC: iteration: 197, test suite size: 2, the method coverage: 0.5, the elapsed time: 66.53854353333334
MCMC: iteration: 198, test suite size: 4, the method coverage: 0.5, the elapsed time: 66.87319305
MCMC: iteration: 199, test suite size: 3, the method coverage: 0.5, the elapsed time: 67.12435783333333
MCMC: iteration: 200, test suite size: 6, the method coverage: 0.5, the elapsed time: 67.55944926666668
MCMC: iteration: 201, test suite size: 1, the method coverage: 0.5, the elapsed time: 67.7432006
MCMC: iteration: 202, test suite size: 2, the method coverage: 0.5, the elapsed time: 67.96052753333333
MCMC: iteration: 203, test suite size: 1, the method coverage: 0.5, the elapsed time: 68.14425611666667
MCMC: iteration: 204, test suite size: 1, the method coverage: 0.5, the elapsed time: 68.32801586666666
MCMC: iteration: 205, test suite size: 2, the method coverage: 0.5, the elapsed time: 68.59587431666667
MCMC: iteration: 206, test suite size: 3, the method coverage: 0.5, the elapsed time: 68.84641698333333
MCMC: iteration: 207, test suite size: 5, the method coverage: 0.5, the elapsed time: 69.33210413333333
MCMC: iteration: 208, test suite size: 1, the method coverage: 0.5, the elapsed time: 69.51593041666666
MCMC: iteration: 209, test suite size: 5, the method coverage: 0.5, the elapsed time: 69.8677009
MCMC: iteration: 210, test suite size: 1, the method coverage: 0.5, the elapsed time: 70.05153558333333
MCMC: iteration: 211, test suite size: 5, the method coverage: 0.5, the elapsed time: 70.38608831666667
MCMC: iteration: 212, test suite size: 6, the method coverage: 0.5, the elapsed time: 70.75433275
MCMC: iteration: 213, test suite size: 5, the method coverage: 0.5, the elapsed time: 71.10572758333333
MCMC: iteration: 214, test suite size: 2, the method coverage: 0.5, the elapsed time: 71.30618816666667
MCMC: iteration: 215, test suite size: 10, the method coverage: 0.5, the elapsed time: 71.89211085000001
MCMC: iteration: 216, test suite size: 6, the method coverage: 0.5, the elapsed time: 72.39385483333334
MCMC: iteration: 217, test suite size: 2, the method coverage: 0.5, the elapsed time: 72.59437835
MCMC: iteration: 218, test suite size: 1, the method coverage: 0.5, the elapsed time: 72.77811138333333
MCMC: iteration: 219, test suite size: 3, the method coverage: 0.5, the elapsed time: 73.02908001666667
MCMC: iteration: 220, test suite size: 2, the method coverage: 0.5, the elapsed time: 73.22990726666667
MCMC: iteration: 221, test suite size: 2, the method coverage: 0.5, the elapsed time: 73.43047678333333
MCMC: iteration: 222, test suite size: 3, the method coverage: 0.5, the elapsed time: 73.69774686666666
MCMC: iteration: 223, test suite size: 3, the method coverage: 0.5, the elapsed time: 73.93185248333333
MCMC: iteration: 224, test suite size: 9, the method coverage: 0.5, the elapsed time: 74.41808486666667
MCMC: iteration: 225, test suite size: 6, the method coverage: 0.5, the elapsed time: 74.80273518333334
MCMC: iteration: 226, test suite size: 9, the method coverage: 0.5, the elapsed time: 75.2712912
MCMC: iteration: 227, test suite size: 3, the method coverage: 0.5, the elapsed time: 75.5052351
MCMC: iteration: 228, test suite size: 2, the method coverage: 0.5, the elapsed time: 75.72253911666667
MCMC: iteration: 229, test suite size: 15, the method coverage: 0.5, the elapsed time: 76.4590057
MCMC: iteration: 230, test suite size: 10, the method coverage: 0.5, the elapsed time: 76.99517158333333
MCMC: iteration: 231, test suite size: 2, the method coverage: 0.5, the elapsed time: 77.19578383333334
MCMC: iteration: 232, test suite size: 6, the method coverage: 0.5, the elapsed time: 77.58066643333333
MCMC: iteration: 233, test suite size: 3, the method coverage: 0.5, the elapsed time: 77.81472783333334
MCMC: iteration: 234, test suite size: 2, the method coverage: 0.5, the elapsed time: 78.01514778333333
MCMC: iteration: 235, test suite size: 6, the method coverage: 0.5, the elapsed time: 78.39950306666667
MCMC: iteration: 236, test suite size: 1, the method coverage: 0.5, the elapsed time: 78.58321285000001
MCMC: iteration: 237, test suite size: 2, the method coverage: 0.5, the elapsed time: 78.7670254
MCMC: iteration: 238, test suite size: 3, the method coverage: 0.5, the elapsed time: 79.16902468333333
MCMC: iteration: 239, test suite size: 3, the method coverage: 0.5, the elapsed time: 79.43700009999999
MCMC: iteration: 240, test suite size: 6, the method coverage: 0.5, the elapsed time: 79.8054327
MCMC: iteration: 241, test suite size: 4, the method coverage: 0.5, the elapsed time: 80.2407374
MCMC: iteration: 242, test suite size: 3, the method coverage: 0.5, the elapsed time: 80.50821828333332
MCMC: iteration: 243, test suite size: 3, the method coverage: 0.5, the elapsed time: 80.80950720000001
MCMC: iteration: 244, test suite size: 7, the method coverage: 0.5, the elapsed time: 81.22776701666666
MCMC: iteration: 245, test suite size: 2, the method coverage: 0.5, the elapsed time: 81.44515861666667
MCMC: iteration: 246, test suite size: 1, the method coverage: 0.5, the elapsed time: 81.62898881666666
MCMC: iteration: 247, test suite size: 4, the method coverage: 0.5, the elapsed time: 81.94700581666666
MCMC: iteration: 248, test suite size: 2, the method coverage: 0.5, the elapsed time: 82.1644067
MCMC: iteration: 249, test suite size: 1, the method coverage: 0.5, the elapsed time: 82.34823490000001
MCMC: iteration: 250, test suite size: 3, the method coverage: 0.5, the elapsed time: 82.63282986666667
MCMC: iteration: 251, test suite size: 1, the method coverage: 0.5, the elapsed time: 82.81669933333333
MCMC: iteration: 252, test suite size: 9, the method coverage: 0.5, the elapsed time: 83.3356773
MCMC: iteration: 253, test suite size: 7, the method coverage: 0.5, the elapsed time: 83.77064653333333
MCMC: iteration: 254, test suite size: 3, the method coverage: 0.5, the elapsed time: 84.02160783333333
MCMC: iteration: 255, test suite size: 1, the method coverage: 0.5, the elapsed time: 84.20539838333335
MCMC: iteration: 256, test suite size: 1, the method coverage: 0.5, the elapsed time: 84.50641043333333
MCMC: iteration: 257, test suite size: 4, the method coverage: 0.5, the elapsed time: 84.77391444999999
MCMC: iteration: 258, test suite size: 1, the method coverage: 0.5, the elapsed time: 84.95772628333334
MCMC: iteration: 259, test suite size: 12, the method coverage: 0.5, the elapsed time: 85.66105151666667
MCMC: iteration: 260, test suite size: 7, the method coverage: 0.5, the elapsed time: 86.06269640000001
MCMC: iteration: 261, test suite size: 3, the method coverage: 0.5, the elapsed time: 86.3137064
MCMC: iteration: 262, test suite size: 7, the method coverage: 0.5, the elapsed time: 86.71553361666666
MCMC: iteration: 263, test suite size: 4, the method coverage: 0.5, the elapsed time: 87.08380415
MCMC: iteration: 264, test suite size: 2, the method coverage: 0.5, the elapsed time: 87.31803351666667
MCMC: iteration: 265, test suite size: 6, the method coverage: 0.5, the elapsed time: 87.70281633333335
MCMC: iteration: 266, test suite size: 13, the method coverage: 0.5, the elapsed time: 88.40619418333334
MCMC: iteration: 267, test suite size: 3, the method coverage: 0.5, the elapsed time: 88.67380863333332
MCMC: iteration: 268, test suite size: 4, the method coverage: 0.5, the elapsed time: 88.95832883333334
MCMC: iteration: 269, test suite size: 1, the method coverage: 0.5, the elapsed time: 89.1420821
MCMC: iteration: 270, test suite size: 1, the method coverage: 0.5, the elapsed time: 89.32587163333332
MCMC: iteration: 271, test suite size: 3, the method coverage: 0.5, the elapsed time: 89.74470636666666
MCMC: iteration: 272, test suite size: 2, the method coverage: 0.5, the elapsed time: 89.94530865
MCMC: iteration: 273, test suite size: 1, the method coverage: 0.5, the elapsed time: 90.1291366
MCMC: iteration: 274, test suite size: 4, the method coverage: 0.5, the elapsed time: 90.46408953333334
MCMC: iteration: 275, test suite size: 2, the method coverage: 0.5, the elapsed time: 90.66464971666666
MCMC: iteration: 276, test suite size: 2, the method coverage: 0.5, the elapsed time: 90.84857533333334
MCMC: iteration: 277, test suite size: 4, the method coverage: 0.5, the elapsed time: 91.30040525
MCMC: iteration: 278, test suite size: 1, the method coverage: 0.5, the elapsed time: 91.48412288333334
MCMC: iteration: 279, test suite size: 5, the method coverage: 0.5, the elapsed time: 91.80195703333334
MCMC: iteration: 280, test suite size: 1, the method coverage: 0.5, the elapsed time: 91.98575443333334
MCMC: iteration: 281, test suite size: 5, the method coverage: 0.5, the elapsed time: 92.3205481
MCMC: iteration: 282, test suite size: 3, the method coverage: 0.5, the elapsed time: 92.55468311666667
MCMC: iteration: 283, test suite size: 5, the method coverage: 0.5, the elapsed time: 92.9394054
MCMC: iteration: 284, test suite size: 6, the method coverage: 0.5, the elapsed time: 93.47516993333333
MCMC: iteration: 285, test suite size: 10, the method coverage: 0.5, the elapsed time: 94.04425965
MCMC: iteration: 286, test suite size: 1, the method coverage: 0.5, the elapsed time: 94.22808165
MCMC: iteration: 287, test suite size: 1, the method coverage: 0.5, the elapsed time: 94.41188165
MCMC: iteration: 288, test suite size: 1, the method coverage: 0.5, the elapsed time: 94.72983976666666
MCMC: iteration: 289, test suite size: 2, the method coverage: 0.5, the elapsed time: 94.91364681666667
MCMC: iteration: 290, test suite size: 12, the method coverage: 0.5, the elapsed time: 95.60034476666667
MCMC: iteration: 291, test suite size: 7, the method coverage: 0.5, the elapsed time: 96.03577973333333
MCMC: iteration: 292, test suite size: 11, the method coverage: 0.5, the elapsed time: 96.83957653333333
MCMC: iteration: 293, test suite size: 12, the method coverage: 0.5, the elapsed time: 97.59352218333333
MCMC: iteration: 294, test suite size: 6, the method coverage: 0.5, the elapsed time: 97.9617038
MCMC: iteration: 295, test suite size: 5, the method coverage: 0.5, the elapsed time: 98.3467651
MCMC: iteration: 296, test suite size: 12, the method coverage: 0.5, the elapsed time: 98.99945455000001
MCMC: iteration: 297, test suite size: 10, the method coverage: 0.5, the elapsed time: 99.5521815
MCMC: iteration: 298, test suite size: 7, the method coverage: 0.5, the elapsed time: 99.97088373333332
MCMC: iteration: 299, test suite size: 10, the method coverage: 0.5, the elapsed time: 100.52328761666666
